	location
0	Испания
1	США
2	Большой Лондон
3	Танзания
4	Рединг
5	Норвегия
6	Камберленд
7	Фарсал
8	Бад-Эмс
9	Орхус
10	Великобритания
11	Юкатан
12	Черногория
13	Шеффилд
14	Кувейт
15	Греция
16	Брэдфорд
17	Волгоград
18	Африка
19	острова Чагос
20	Нигер
21	Девон
22	Бразилия
23	Даугава
24	Сэндхарст
25	Ляодунский полуостров
26	Айзенштадт
27	Хердфордшир
28	Абадан
29	Арабская Республика Египет
30	Кологрив
31	Эфиопия
32	Бавария
33	Белоруссия
34	Миссури
35	Коста-Рика
36	Уинчелси
37	Киргизия
38	Мэриленд
39	Бирмингем
40	Клостернойбург
41	Стафордшир
42	Сирия
43	Кот д'Ивуар
44	Канада
45	Кипр
46	Гурк
47	Кью
48	Гамбия
49	Оксфорд
50	Миссисипи
51	Шатт-эль-Араб
52	Айова
53	Устюжна
54	Айдахо
55	Котлас
56	Южная Осетия
57	Германия
58	Ангилья
59	Багамы
60	Истборн
61	Ла-Манш
62	Канберра
63	Портсмут
64	Плимут
65	Чехия
66	Конго, Демократическая Республика
67	Фермопилы
68	Штирия
69	Молд
70	Тинмут
71	Парагвай
72	Реймс
73	Шпитталь
74	Британская Территория в Индийском Океане
75	Честер
76	Португалия
77	Республика Сербская
78	Азербайджан
79	Или
80	Лестер
81	Гвинея
82	Даттон
83	Дунай
84	Бенин
85	Швейцария
86	Фаддеевский
87	Ибица
88	Ливия
89	Объединённые Арабские Эмираты
90	Чад
91	Конго
92	Камбоджа
93	Брегенц
94	Армения
95	Беркшир
96	Солсбери
97	Танга
98	Бермудские Острова
99	Суринам
100	Мьянма
101	Корейская Народно-Демократическая Республика
102	Гваделупа
103	Калифорния
104	Монголия
105	Амштеттен
106	Иран
107	Алжир
108	Америка
109	Румыния
110	Пакистан
111	Грац
112	Большой Манчестер
113	Стаур
114	Словакия
115	Тироль
116	Абердиншир
117	Линкольн
118	Республика Конго
119	Грузия
120	Брадфорд-на-Эйвоне
121	Бруней
122	Кицбюель
123	Приморье
124	Сток-он-Трента
125	Або
126	Бурунди
127	Соединенные Штаты Америки
128	Ковентри
129	Атлантический океан
130	Острова Кука
131	Джибути
132	Туркме́ния
133	Халл
134	Мексика
135	Украина
136	Кольчугино
137	Китай
138	Улан-Удэ
139	Майрхофен
140	Французские Южные Территории
141	Страуд
142	Сент-Люсия
143	Ланкастер
144	Земля
145	Болгария
146	Море Баффина
147	Финляндия
148	Ливерпуль
149	Кентербери
150	Шрусбери
151	Панама
152	Бабуян
153	Намибия
154	Лутон
155	Ирландия
156	Линкольншир
157	Урус-Мартан
158	Эйлсбери
159	Герцеговина
160	Дувр
161	Кент
162	Демократическая Республика Конго
163	Блэкпул
164	Ямал
165	Гондурас
166	Уокинг
167	Американское Самоа
168	Албания
169	Судан
170	Усолье-Сибирское
171	Государство
172	Вольфсберг
173	Джерси
174	Колпашево
175	Бат
176	Уотфорд
177	Санкт-Антон-ам-Арльберг
178	Урюпинск
179	Гвинея-Бисау
180	Бакингемшир
181	Кромер
182	Алфавитный список стран и территорий
183	Тонга
184	Хорватия
185	Данди
186	Блэкберн
187	Тунис
188	Багдад
189	Харлоу
190	Западный Йоркшир
191	Сассекс
192	Сток-он-Трент
193	Палестинская автономия
194	Лихтенштейн
195	Троубридж
196	Польша
197	Бэнтри
198	Экс
199	Габон
200	Приднестровье
201	Венесуэла
202	Свазиленд
203	Баглан
204	Северное море
205	Фиджи
206	Андалусия
207	Яуза
208	Нил
209	Камбрия
210	Дорчестер
211	Мальта
212	Французская Гвиана
213	Западный Мидлендс
214	Косово
215	Босния и Герцеговина
216	Замбия
217	Эссекс
218	Филлах
219	Канарские острова
220	Абиджан
221	Сент-Винсент и Гренадины
222	Гайана
223	Брилл
224	Латвия
225	Уидон
226	Козьмодемьянск
227	Европа
228	Тамил-Илам
229	Гринвич
230	Траун
231	Виртуальные государства
232	Флинтшир
233	Ниуэ
234	Уварово
235	Гори
236	Кадис
237	Барбадос
238	Индийский океан
239	Днепр
240	Абаканский хребет
241	Дербишир
242	Усть-Илимск
243	Комптон
244	Бойсе
245	Ликийский полуостров
246	Мозамбик
247	КНДР
248	Италия
249	Никарагуа
250	Макао
251	Суиндон
252	Аландские острова
253	Йоркшир
254	Камерун
255	Аоста
256	Мёдлинг
257	Луунеми
258	Зейнсвилл
259	Азорские острова
260	Коба
261	Тошек
262	Тринг
263	Колумбия
264	Израиль
265	Уржум
266	Йемен
267	Томская область
268	Уорик
269	Ибрим
270	Царицын
271	Индия
272	Инн
273	Дания
274	Конуэй
275	Хэмпшир
276	Бангор
277	Ботсвана
278	Лавант
279	Новая Зеландия
280	Список стран
281	Южная Америка
282	Тянь-Шань
283	Вазиристан
284	Леондинг
285	Малайзия
286	Загрос
287	Фарс
288	Гватемала
289	Кабо-Верде
290	Штаты США
291	Евразия
292	Ульяновск
293	Нижняя Австрия
294	Уфа
295	География
296	Абхазия
297	Рейгейт
298	Вудсток
299	Дил
300	Уорикшир
301	Северная Америка
302	Западная Виргиния
303	Доха
304	Котовск
305	коронная земля
306	Учалы
307	Австрия
308	Капфенберг
309	Фром
310	Сальвадор
311	Абу-Даби
312	Фалькензе
313	Чичестер
314	Люксембург
315	Урай
316	Дадли
317	Англия
318	Монтана
319	Гулль
320	Коломна
321	Лесото
322	Удомля
323	Иллинойс
324	Северная Корея
325	Реюньон
326	Пул
327	Уинслоу
328	Фолклендские Острова
329	заморская территория
330	Азия
331	Ааюн
332	Таджикистан
333	Родос
334	Энс
335	Белиз
336	Континент
337	Гернси
338	Нормандские острова
339	Уганда
340	Лусака
341	Уоллис и Футуна, острова
342	Федерация Боснии и Герцеговины
343	Фамагуста
344	Ли-он-Си
345	Винчелси
346	Ярославль
347	Бартон
348	Копейск
349	Гавайи
350	Нидерланды
351	Багдати
352	Аберистуит
353	Браунау-на-Инне
354	Вустер
355	Баден
356	Мичиган
357	Доминика
358	Либерия
359	Каринтия
360	Котельнич
361	Полуостров Ломоносова
362	Турция
363	Таиланд
364	Мэн
365	Буркина-Фасо
366	Восточный Тимор
367	Сеута
368	Саудовская Аравия
369	Аомынь
370	Тасмания
371	Уилтшир
372	Аргентина
373	Авон
374	Вулверхэмптон
375	Эспосенде
376	Запорожье
377	Лаос
378	Сингапур
379	Удачный
380	Бригг
381	Южная Корея
382	Венгрия
383	Гретна
384	Эксетер
385	Индонезия
386	Швеция
387	Вер
388	Американские Виргинские острова
389	Мура
390	Вануату
391	Поровесе
392	Сомерсет
393	Западная Двина
394	Замбези
395	Индиана
396	Дарем
397	Юэлл
398	Исландия
399	Ист-Суссекс
400	Абакан
401	Ноттингем
402	Невада
403	Эстония
404	Литва
405	Питкэрн
406	Мельк
407	Челтенем
408	Баб-эль-Мандебский пролив
409	Маврикий
410	Туркмения
411	Пуэрто-Рико
412	Канзас
413	Эквадор
414	Йорк
415	Загреб
416	Престон
417	Небраска
418	Свальбард
419	Кремс
420	Девон Девон
421	Усть-Джегута
422	Усинск
423	Мальдивы
424	Виндзор
425	Ливан
426	Верхняя Австрия
427	Бартон-апон-Трент
428	Оксфордшир
429	Ланкашир
430	Иордания
431	Чидл
432	Новая Каледония
433	Карлайль
434	Корк
435	Файли
436	Глостер
437	Ямайка
438	Кения
439	Фао
440	Кирибати
441	Узловая
442	Огайо
443	Андорра
444	Кобленц
445	Остров Норфолк
446	Тайвань
447	Бабадаг
448	Дептфорд
449	Тринидад и Тобаго
450	Словения
451	Республика Македония
452	Нидерландские Антильские острова
453	Флитншир
454	Борнмут
455	Суффолк
456	Клэр
457	Уэллинг
458	Зёйдер-Зе
459	Каймановы Острова
460	Лидс
461	Турецкая Республика Северного Кипра
462	Дорсетшир
463	Афганистан
464	Кола
465	Франция
466	Абаза
467	Усть-Катав
468	Япония
469	Винер-Нойштадт
470	Леобен
471	Милтон-Кинс
472	Зеландия
473	Британские Виргинские острова
474	Шри-Ланка
475	Норфолк
476	Фалькон
477	Фанские горы
478	Итон
479	Оман
480	Кейптаун
481	Сибирь
482	Инсбрук
483	Ютландия
484	Брайтон
485	Италии
486	Лабрадор
487	Бахрейн
488	Казахстан
489	Миннесота
490	Фандарья
491	Тулум
492	Котово
493	Даниz
494	Баба
495	Бали
496	Уяр
497	Патни
498	Вельс
499	Дорнбирн
500	Клагенфурт
501	Суррей
502	Форарльберг
503	Малави
504	Иракский Курдистан
505	Папуа — Новая Гвинея
506	Босния
507	Соломоновы Острова
508	Абердин
509	Сан-Томе и Принсипи
510	Нагорно-Карабахская Республика
511	Узбекистан
512	Кот-д'Ивуар
513	Уэльс
514	Конуи
515	Колчестер
516	Унеча
517	Кембриджшир
518	КНР
519	Гана
520	Гуам
521	Бразилиа
522	Нагорный Карабах
523	Куба
524	Хузистан
525	Бантри
526	Уэстморленд
527	Ужур
528	Аруба
529	Шотландия
530	Бабаево
531	Западный берег реки Иордан
532	Абруццо
533	Гаити
534	Тувалу
535	Монако
536	Сент-Олбанс
537	Руанда
538	Боливия
539	Абай
540	Бабушкин
541	Зимбабве
542	Манчестер
543	Аба
544	Сан-Марино
545	Вест-Индия
546	Западная Сахара
547	Северный Ледовитый океан
548	Кабот
549	Анерли
550	ЮАР
551	Апулия
552	Лэйчжоубаньдао
553	Бутан
554	Антигуа и Барбуда
555	Кокосовые Острова
556	Занзибар
557	Глостершир
558	Чешир
559	Багамские Острова
560	Джамахирия
561	Углегорск
562	Остров Рождества
563	Дерби
564	Луизиана
565	Вена
566	Дартфорд
567	Санкт-Пёльтен
568	Катар
569	Бельгия
570	Ангола
571	Гибралтар
572	Темза
573	Баальбек
574	Австралия и Океания
575	Бедфорд
576	Майнти
577	Абастумани
578	Саутгемптон
579	Хоув
580	Гренландия
581	Заир
582	Ааре
583	Стаффордшир
584	Мали
585	Усолье
586	Калькутта
587	Вьетнам
588	Зальцбург
589	Марокко
590	Россия
591	Сент-Китс и Невис
592	Урень
593	Перу
594	Австралия
595	Каир
596	Фалешты
597	Фолклендские острова
598	Слау
599	Океания
600	Бангладеш
601	Штайр
602	Центральноафриканская Республика
603	Ирак
604	Вустершир
605	Уругвай
606	Антарктида
607	Па-де-Кале
608	Мальдивские острова
609	Хартфордшир
610	Гланфорд Бригг
611	Усть-Лабинск
612	Абилин
613	Ухта
614	Бристоль
615	Нортгемптон
616	Кингстон-апон-Халл
617	Сербия
618	Молдавия
619	Ватикан
620	Килдэр
621	Гренада
622	Доминиканская Республика
623	де-юре
624	Лондон
625	Булак
626	Чили
627	Эйвон
628	Объединенные Арабские Эмираты
629	Мидлсбро
630	Фельдкирх
631	Филиппины
632	Бедфордшир
633	Уссурийск
634	Фарерские Острова
635	Непал
636	Самоа
637	Коморские Острова
638	Линц
639	Усмань
640	Египет
641	Гонконг
642	Кембридж
643	Южно-Африканская Республика
